Date,Temperature (C),Humidity (%),Wind Speed (km/h),Luminosity (klux),Rain,Umbrella,Condition,Clothes
2022-09-12,-1.5,57,7.1,6.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-09-13,4.5,54,3.8,5.8,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-09-14,29.1,26,40.5,1.4,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-09-15,-5.0,61,37.2,3.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-09-16,1.1,66,8.5,7.0,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-09-17,25.0,1,11.3,5.2,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-09-18,28.9,39,1.5,1.3,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-09-19,3.9,22,49.8,3.3,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-09-20,3.7,84,49.5,7.9,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-09-21,7.4,89,0.5,4.6,No,No,Cloudy,"sweater, pants, boots"
2022-09-22,5.9,5,4.1,5.1,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-09-23,-8.7,32,30.7,7.8,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-09-24,25.9,69,29.3,7.1,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-09-25,7.9,69,41.8,1.1,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-09-26,19.9,73,23.8,4.5,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-09-27,-5.9,24,17.2,3.8,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-09-28,-1.9,78,16.3,3.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-09-29,-9.3,38,26.1,0.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-09-30,20.5,69,47.4,5.8,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-09-31,16.2,99,19.4,6.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-10-01,1.4,35,21.0,3.5,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-10-02,21.6,42,38.3,5.1,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-10-03,-5.5,63,15.5,2.8,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-10-04,-4.2,58,17.6,3.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-10-05,15.4,3,37.5,3.7,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-10-06,23.5,54,7.8,1.1,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-10-07,12.7,41,40.6,3.5,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-10-08,15.9,85,35.9,4.3,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-10-09,24.9,52,48.8,7.9,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-10-10,14.0,96,44.6,4.6,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-10-11,1.5,80,48.7,1.2,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-10-12,21.7,96,31.1,7.7,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-10-13,-8.3,18,46.3,4.9,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-10-14,2.2,35,14.2,2.7,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-10-15,3.0,76,24.9,10.0,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-10-16,-0.5,60,46.0,5.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-10-17,-0.5,92,4.8,4.3,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-10-18,-1.2,28,1.1,9.7,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-10-19,-2.0,42,14.6,7.2,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-10-20,14.8,89,12.1,3.3,No,No,Cloudy,"sweater, pants, boots"
2022-10-21,28.1,83,43.6,9.3,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-10-22,-1.2,67,27.2,7.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-10-23,0.1,61,39.3,6.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-10-24,-8.6,97,19.4,1.8,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-10-25,10.8,28,14.9,0.7,No,No,Cloudy,"sweater, pants, boots"
2022-10-26,29.5,23,27.4,0.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-10-27,23.9,37,46.9,0.7,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-10-28,21.7,68,1.5,6.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-10-29,20.0,87,22.3,7.0,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-10-30,14.1,72,9.2,2.6,No,No,Cloudy,"sweater, pants, boots"
2022-10-31,10.1,58,49.7,3.3,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-11-01,17.7,49,15.8,8.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-11-02,27.7,36,39.5,6.9,Yes,Yes,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-11-03,19.4,52,35.9,4.7,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-11-04,14.3,10,47.0,2.8,No,No,Cloudy,"sweater, pants, boots"
2022-11-05,1.7,37,6.6,8.2,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-11-06,-5.3,16,1.8,9.9,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-11-07,28.2,98,29.2,8.8,Yes,Yes,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-11-08,16.7,100,15.2,2.2,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-11-09,16.3,78,4.2,9.9,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-11-10,26.7,85,7.5,4.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-11-11,-8.0,77,42.1,3.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-11-12,-3.0,45,43.0,5.6,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-11-13,9.1,63,21.0,7.6,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-11-14,8.9,97,39.2,2.6,No,No,Cloudy,"sweater, pants, boots"
2022-11-15,11.1,15,46.9,8.9,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-11-16,13.0,55,35.5,8.1,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-11-17,1.4,22,19.8,2.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-11-18,-4.1,75,49.4,6.9,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-11-19,11.6,52,7.5,2.0,No,No,Cloudy,"sweater, pants, boots"
2022-11-20,16.6,16,30.4,7.0,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-11-21,12.1,30,37.6,7.3,No,No,Cloudy,"sweater, pants, boots, sunscreen"
2022-11-22,11.2,18,44.7,4.9,No,No,Cloudy,"sweater, pants, boots"
2022-11-23,-8.0,22,34.6,3.3,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-11-24,26.5,42,49.7,4.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-11-25,27.5,13,26.5,9.8,No,No,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-11-26,22.2,86,1.2,7.0,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-11-27,27.1,89,45.6,2.9,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-11-28,-3.9,30,38.7,4.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-11-29,21.0,33,3.7,5.4,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-11-30,-6.5,34,12.7,2.3,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots"
2022-11-31,16.3,90,20.7,8.5,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-12-01,12.3,23,17.2,6.6,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-12-02,18.4,50,35.6,8.2,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-12-03,0.1,1,33.7,7.1,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-12-04,20.5,78,22.5,9.0,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-12-05,18.2,44,2.2,2.7,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-12-06,-9.8,4,11.1,8.5,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-12-07,21.4,88,39.4,0.9,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-12-08,28.2,27,38.5,6.3,Yes,Yes,Sunny,"t-shirt, shorts, sandals, sunscreen"
2022-12-09,25.1,60,1.7,0.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-12-10,0.7,54,36.3,7.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-12-11,23.4,57,47.8,6.1,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-12-12,19.2,68,11.4,2.6,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-12-13,20.6,32,9.6,1.8,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-12-14,4.3,55,48.2,3.1,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-12-15,27.1,46,22.8,4.1,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-12-16,19.1,38,15.4,4.5,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-12-17,5.8,77,36.8,3.0,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-12-18,0.8,27,28.7,5.1,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-12-19,16.8,53,42.2,4.8,Yes,Yes,Partly Cloudy,"light sweater, jeans, sneakers"
2022-12-20,12.9,1,27.4,4.0,Yes,Yes,Cloudy,"sweater, pants, boots"
2022-12-21,-6.5,6,0.0,7.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-12-22,9.7,13,30.1,9.3,Yes,Yes,Cloudy,"sweater, pants, boots, sunscreen"
2022-12-23,3.1,72,33.5,6.4,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-12-24,22.5,85,25.0,1.5,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-12-25,27.4,85,23.7,1.3,Yes,Yes,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-12-26,0.4,60,23.1,7.5,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
2022-12-27,-9.6,96,16.9,2.3,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-12-28,-0.1,13,46.3,5.7,No,No,Rainy,"rain jacket, umbrella, waterproof shoes, sunscreen"
2022-12-29,-0.8,38,6.5,4.6,No,No,Rainy,"rain jacket, umbrella, waterproof shoes"
2022-12-30,24.9,13,36.8,2.9,No,No,Partly Cloudy,"light sweater, jeans, sneakers"
2022-12-31,-4.8,83,18.3,5.9,Yes,Yes,Snowing,"heavy coat, hat, gloves, snow boots, sunscreen"
